"","distance","consume","speed","temp_inside","temp_outside","gas_type","AC","rain","sun","refill.liters","refill.gas"
"1",17.2,3.9,35,22,16,"E10",0,0,0,NA,""
"2",24.7,5.1,58,21.5,12,"E10",0,0,0,NA,""
"3",11.8,4.1,37,21.5,10,"E10",0,0,0,NA,""
"4",11.8,4.4,33,22.5,8,"E10",0,0,0,NA,""
"5",11.7,4.6,37,21.5,6,"E10",0,0,0,NA,""
"6",16.6,4.6,50,22,25,"E10",0,0,0,NA,""
"7",16,4,42,22,15,"E10",0,0,0,NA,""
"8",21,3.8,37,22,21,"E10",0,0,0,NA,""
"9",12.3,5.1,55,22.5,8,"E10",0,0,0,NA,""
"10",51.6,5,73,22.5,12,"E10",0,0,0,NA,""
"11",15.4,4.1,45,22,24,"E10",0,0,0,NA,""
"12",38.6,4.6,44,22.5,10,"E10",0,0,0,NA,""
"13",16.6,3.7,49,22,17,"E10",0,0,0,37.7,"E10"
"14",25.2,5,55,22.5,9,"E10",0,0,0,NA,""
"15",16.4,4.8,49,21.5,5,"E10",0,0,0,NA,""
"16",12.4,4.1,57,21.5,9,"E10",0,0,0,NA,""
"17",7.8,4.4,43,21.5,11,"E10",0,0,0,NA,""
"18",15.4,4.2,50,21.5,21,"E10",0,0,0,NA,""
"19",35.8,4.4,51,21.5,6,"E10",0,0,0,NA,""
"20",40.6,4.4,44,21,3,"E10",0,0,0,NA,""
"21",16.1,5.1,30,25,16,"E10",1,1,0,NA,""
"22",12.4,4.6,55,22.5,11,"E10",0,0,1,NA,""
"23",2,8.1,20,22.5,14,"E10",0,0,0,NA,""
"24",22.7,4.7,55,21.5,6,"E10",0,0,0,NA,""
"25",11.8,5,29,21.5,10,"E10",0,0,0,NA,""
"26",13,5.7,37,22.5,11,"E10",0,1,0,NA,""
"27",4.8,4.7,26,25,18,"E10",0,0,0,NA,""
"28",21.1,4.6,36,21.5,8,"E10",0,0,0,NA,""
"29",17.9,5.7,37,21.5,1,"E10",0,0,0,NA,""
"30",1.7,10.8,14,21.5,10,"E10",0,1,0,NA,""
"31",16,3.8,42,22,8,"E10",0,0,0,NA,""
"32",32.6,4.8,40,21.5,7,"E10",0,0,0,NA,""
"33",12.3,4.8,41,22.5,7,"E10",0,0,0,NA,""
"34",18.9,4.4,53,21.5,2,"E10",0,0,0,NA,""
"35",129.7,4.6,58,24,21,"E10",0,0,0,NA,""
"36",21.5,4.8,47,25,27,"E10",1,0,1,NA,""
"37",11.8,4.2,34,21.5,9,"E10",0,1,0,NA,""
"38",12.3,5.9,59,21.5,10,"E10",0,0,0,NA,""
"39",12.4,5.3,38,21,-5,"E10",0,0,0,NA,""
"40",19,4.5,29,22.5,10,"E10",0,0,0,39,"E10"
"41",16,4.2,41,22,15,"E10",0,0,0,NA,""
"42",12.3,5.9,62,21.5,6,"E10",0,0,0,NA,""
"43",4.9,7.4,26,21.5,6,"E10",0,0,0,NA,""
"44",25.3,5.5,32,21.5,3,"E10",0,0,0,NA,""
"45",11.8,4.9,44,21.5,0,"E10",0,0,0,NA,""
"46",12.4,4,55,21.5,7,"E10",1,1,0,NA,""
"47",12.3,5.4,58,21.5,13,"E10",0,0,0,NA,""
"48",16,4,43,22,16,"E10",0,0,0,NA,""
"49",11.8,4.3,37,21.5,7,"E10",0,0,0,NA,""
"50",130.3,4.6,85,22,12,"E10",0,0,0,NA,""
"51",17.3,5.1,24,21.5,5,"E10",0,0,0,NA,""
"52",81.2,4.4,69,22,13,"E10",0,0,0,NA,""
"53",8.3,6.4,50,21.5,10,"E10",0,0,0,NA,""
"54",13,5.9,32,22.5,10,"E10",0,0,0,NA,""
"55",4.1,5.4,24,22.5,13,"E10",0,0,0,NA,""
"56",12.3,4.9,50,22.5,0,"E10",0,0,0,NA,""
"57",9.2,5.7,33,22.5,8,"E10",0,1,0,NA,""
"58",11.8,4.8,23,21.5,9,"E10",0,0,0,NA,""
"59",12.3,5.3,51,21.5,11,"E10",0,0,0,NA,""
"60",18.4,4.2,59,22,24,"E10",0,0,0,NA,""
"61",15.4,4.8,40,22,18,"E10",0,0,0,NA,""
"62",16,4,40,22,10,"E10",0,0,0,NA,""
"63",12.9,3.9,36,21.5,14,"E10",0,0,0,NA,""
"64",25.7,5,45,22.5,7,"E10",0,0,0,NA,""
"65",4.2,5.6,29,22,17,"E10",0,0,0,NA,""
"66",7.4,5,31,22.5,12,"E10",0,0,0,NA,""
"67",20.8,4.5,45,21.5,10,"E10",0,0,0,NA,""
"68",14.2,5.9,38,21.5,1,"E10",0,0,0,NA,""
"69",31.8,4.7,59,22.5,3,"E10",0,0,0,NA,""
"70",93.9,4.8,88,23,18,"E10",1,0,1,NA,""
"71",12.3,5.2,57,22.5,15,"E10",0,0,1,NA,""
"72",12.3,7.1,52,22.5,0,"E10",1,1,0,NA,""
"73",19,4.3,36,21.5,7,"E10",0,0,0,NA,""
"74",12.3,6.5,58,21.5,7,"E10",0,0,0,NA,""
"75",18.4,5.7,35,21.5,4,"E10",0,0,0,NA,""
"76",11.8,4.6,38,21.5,0,"E10",0,0,0,NA,""
"77",16.9,4.5,48,22.5,9,"E10",0,0,1,NA,""
"78",17.4,4.4,36,22.5,12,"E10",0,0,1,NA,""
"79",21.6,5.3,44,21.5,9,"E10",0,1,0,NA,""
"80",16,3.8,42,22,17,"E10",0,0,0,NA,""
"81",6.1,6.3,26,21.5,5,"E10",0,0,0,NA,""
"82",26.6,4.8,38,21.5,7,"E10",0,0,0,NA,""
"83",15.4,4.5,50,22,14,"E10",0,0,0,NA,""
"84",20,5.2,37,21.5,4,"E10",0,0,0,NA,""
"85",12.3,5,40,21.5,6,"E10",0,0,0,NA,""
"86",20.1,4.4,41,21.5,18,"E10",0,0,0,NA,""
"87",16,3.8,41,22,12,"E10",0,0,0,NA,""
"88",14.3,4.8,36,22.5,10,"E10",0,0,0,NA,""
"89",11.8,4.3,40,21.5,10,"E10",0,1,0,NA,""
"90",33.4,5.6,36,21.5,3,"E10",0,0,0,NA,""
"91",44.9,4.7,62,21.5,8,"E10",0,0,0,NA,""
"92",12.3,5.8,54,22.5,10,"E10",0,1,0,NA,""
"93",35.9,4.7,45,21.5,12,"E10",0,0,0,NA,""
"94",12.4,5.2,51,22.5,1,"E10",0,0,0,NA,""
"95",11.8,4.7,36,21.5,1,"E10",0,0,0,NA,""
"96",4.2,5.6,32,22,18,"E10",0,0,0,NA,""
"97",18.3,5.5,29,21.5,1,"E10",0,0,0,NA,""
"98",12.4,4.7,46,21.5,11,"E10",0,0,0,NA,""
"99",39.5,4.2,58,22,25,"E10",0,0,0,NA,""
"100",100.9,4.7,87,23.5,22,"E10",0,0,0,NA,""
"101",15.4,3.8,47,22,24,"E10",0,0,0,NA,""
"102",67.2,4.3,67,22,18,"E10",0,0,0,NA,""
"103",12.4,4.7,55,22.5,14,"E10",0,0,1,NA,""
"104",39.4,5.3,60,21.5,9,"E10",0,1,0,NA,""
"105",18.4,5.7,21,22.5,2,"E10",0,0,0,NA,""
"106",4.5,5,29,21.5,7,"E10",1,0,0,NA,""
"107",18.5,4.5,46,21.5,15,"E10",0,0,0,NA,""
"108",11.8,6.1,16,22.5,6,"E10",0,1,0,NA,""
"109",12.3,5,42,22.5,10,"E10",0,0,0,NA,""
"110",5.1,8.1,39,21.5,4,"E10",0,0,0,NA,""
"111",22.9,4.6,61,21.5,7,"E10",0,1,0,NA,""
"112",15.4,4.5,43,22,24,"E10",0,0,0,NA,""
"113",12.9,5.7,35,22,9,"SP98",0,0,0,NA,""
"114",12.4,4.6,38,23,1,"SP98",0,1,0,NA,""
